sample_id,project_id,condition_id,rep,machine,PMID,GEO,CEL_file,creator,creator-email,run-date,baseline,gene_change,change_type,strain-description,growth-stage,temperature,base-media,carbon-source,nitrogen-source,electron-acceptor,supplement,environment
ec_evol__lacE_day20__3,ec_evol,lacE_day20,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacE_day60__1,ec_evol,lacE_day60,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacE_day60__2,ec_evol,lacE_day60,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacE_day60__3,ec_evol,lacE_day60,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lac_wt__1,ec_evol,lac_wt,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lac_wt__2,ec_evol,lac_wt,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lac_wt__3,ec_evol,lac_wt,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lac_wt__4,ec_evol,lac_wt,4,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lac_wt__5,ec_evol,lac_wt,5,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lac_wt__6,ec_evol,lac_wt,6,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__gly1_day20__1,ec_evol,gly1_day20,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__gly1_day20__2,ec_evol,gly1_day20,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__gly1_day20__3,ec_evol,gly1_day20,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__gly1_day44__1,ec_evol,gly1_day44,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__gly1_day44__2,ec_evol,gly1_day44,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__gly1_day44__3,ec_evol,gly1_day44,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__gly2_day20__1,ec_evol,gly2_day20,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__gly2_day20__2,ec_evol,gly2_day20,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__gly2_day20__3,ec_evol,gly2_day20,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__gly2_day44__1,ec_evol,gly2_day44,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__gly2_day44__2,ec_evol,gly2_day44,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__gly2_day44__3,ec_evol,gly2_day44,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyA_day20__1,ec_evol,glyA_day20,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyA_day20__2,ec_evol,glyA_day20,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyA_day20__3,ec_evol,glyA_day20,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyA_day44__1,ec_evol,glyA_day44,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyA_day44__2,ec_evol,glyA_day44,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyA_day44__3,ec_evol,glyA_day44,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyB_day20__1,ec_evol,glyB_day20,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyB_day20__2,ec_evol,glyB_day20,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyB_day20__3,ec_evol,glyB_day20,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyB_day44__1,ec_evol,glyB_day44,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyB_day44__2,ec_evol,glyB_day44,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyB_day44__3,ec_evol,glyB_day44,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyC_day20__1,ec_evol,glyC_day20,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyC_day20__2,ec_evol,glyC_day20,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyC_day20__3,ec_evol,glyC_day20,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyC_day44__1,ec_evol,glyC_day44,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyC_day44__2,ec_evol,glyC_day44,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyC_day44__3,ec_evol,glyC_day44,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyD_day20__1,ec_evol,glyD_day20,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyD_day20__2,ec_evol,glyD_day20,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyD_day20__3,ec_evol,glyD_day20,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyD_day44__1,ec_evol,glyD_day44,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyD_day44__2,ec_evol,glyD_day44,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyD_day44__3,ec_evol,glyD_day44,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyE_day20__1,ec_evol,glyE_day20,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyE_day20__2,ec_evol,glyE_day20,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyE_day20__3,ec_evol,glyE_day20,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyE_day44__1,ec_evol,glyE_day44,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyE_day44__2,ec_evol,glyE_day44,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__glyE_day44__3,ec_evol,glyE_day44,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__gly_wt__1,ec_evol,gly_wt,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__gly_wt__2,ec_evol,gly_wt,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__gly_wt__3,ec_evol,gly_wt,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__gly_wt__4,ec_evol,gly_wt,4,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
ec_evol__gly_wt__5,ec_evol,gly_wt,5,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% glycerol,NH4Cl,O2,,aerobic
